iter	Passed	Remaining
793	5306	1376
794	5311	1369
795	5318	1363
796	5323	1355
797	5328	1348
798	5335	1342
799	5341	1335
800	5348	1328
801	5353	1321
802	5358	1314
803	5365	1308
804	5369	1300
805	5373	1293
806	5380	1286
807	5385	1279
808	5390	1272
809	5396	1265
810	5401	1258
811	5406	1251
812	5413	1245
813	5418	1238
814	5423	1231
815	5434	1225
816	5439	1218
817	5445	1211
818	5450	1204
819	5455	1197
820	5462	1190
821	5467	1183
822	5472	1176
823	5479	1170
824	5483	1163
825	5487	1155
826	5494	1149
827	5499	1142
828	5503	1135
829	5511	1128
830	5516	1121
831	5522	1115
832	5529	1108
833	5534	1101
834	5539	1094
835	5549	1088
836	5553	1081
837	5561	1075
838	5566	1068
839	5570	1061
840	5579	1054
841	5584	1047
842	5588	1040
843	5595	1034
844	5600	1027
845	5608	1020
846	5613	1013
847	5618	1007
848	5625	1000
849	5630	993
850	5635	986
851	5652	981
852	5659	975
853	5664	968
854	5689	964
855	5694	958
856	5701	951
857	5710	945
858	5715	938
859	5726	932
860	5731	925
861	5741	919
862	5747	912
863	5756	906
864	5762	899
865	5774	893
866	5779	886
867	5787	880
868	5793	873
869	5805	867
870	5810	860
871	5815	853
872	5825	847
873	5830	840
874	5836	833
875	5841	826
876	5852	820
877	5857	813
878	5863	807
879	5871	800
880	5876	793
881	5881	786
882	5887	780
883	5892	773
884	5901	766
885	5906	760
886	5914	753
887	5920	746
888	5925	739
889	5940	734
890	5952	728
891	5957	721
892	5964	714
893	5969	707
894	5974	700
895	5981	694
896	5986	687
897	5992	680
898	5999	673
899	6003	667
900	6008	660
901	6015	653
902	6020	646
903	6026	640
904	6031	633
905	6036	626
906	6046	619
907	6051	613
908	6056	606
909	6064	599
910	6069	592
911	6073	586
912	6078	579
913	6082	572
914	6085	565
915	6092	558
916	6097	551
917	6102	545
918	6110	538
919	6115	531
920	6120	524
921	6127	518
922	6131	511
923	6136	504
924	6143	498
925	6148	491
926	6153	484
927	6160	478
928	6165	471
929	6172	464
930	6177	457
931	6182	451
932	6189	444
933	6195	437
934	6199	431
935	6207	424
936	6211	417
937	6216	410
938	6223	404
939	6228	397
940	6233	390
941	6245	384
942	6250	377
943	6257	371
944	6262	364
945	6269	357
946	6274	351
947	6280	344
948	6286	337
949	6293	331
950	6298	324
951	6305	317
952	6309	311
953	6313	304
954	6320	297
955	6325	291
956	6330	284
957	6337	277
958	6343	271
959	6350	264
960	6355	257
961	6360	251
962	6367	244
963	6372	237
