iter	Passed	Remaining
177	614	2837
178	617	2832
179	619	2823
180	623	2819
181	626	2816
182	628	2807
183	630	2797
184	632	2788
185	634	2778
186	638	2776
187	640	2767
188	642	2758
189	645	2752
190	647	2743
191	650	2735
192	653	2733
193	655	2724
194	658	2716
195	660	2708
196	662	2700
197	665	2696
198	668	2692
199	672	2688
200	674	2680
201	676	2672
202	678	2664
203	682	2663
204	685	2656
205	687	2648
206	689	2640
207	691	2632
208	694	2627
209	697	2623
210	699	2616
211	702	2610
212	704	2602
213	706	2594
214	710	2593
215	712	2586
216	714	2578
217	717	2573
218	719	2565
219	722	2561
220	725	2558
221	727	2550
222	730	2544
223	732	2536
224	734	2529
225	738	2528
226	740	2522
227	742	2515
228	745	2509
229	747	2501
230	751	2500
231	754	2498
232	757	2493
233	759	2487
234	762	2481
235	766	2482
236	769	2476
237	771	2469
238	773	2464
239	776	2457
240	778	2451
241	782	2450
242	784	2443
243	786	2437
244	788	2430
245	790	2424
246	793	2420
247	796	2416
248	798	2409
249	801	2404
250	803	2397
251	805	2391
252	809	2389
253	812	2385
254	814	2378
255	816	2374
256	818	2367
257	821	2361
258	824	2358
259	826	2352
260	828	2345
261	830	2340
262	832	2333
263	834	2327
264	839	2329
265	842	2324
266	844	2319
267	846	2312
268	848	2306
269	852	2304
270	855	2300
271	857	2294
272	860	2290
273	862	2284
274	864	2277
275	867	2276
276	870	2272
277	872	2266
278	875	2262
279	877	2255
280	880	2251
281	883	2249
282	885	2244
283	888	2239
284	890	2233
285	892	2227
286	895	2225
287	898	2221
288	900	2215
289	903	2210
290	905	2205
291	907	2199
292	911	2198
293	913	2194
294	916	2189
295	918	2184
296	920	2179
297	922	2173
298	926	2171
299	928	2167
300	931	2162
301	933	2157
302	935	2152
303	941	2155
304	943	2150
305	945	2145
306	948	2141
307	950	2135
308	953	2132
309	956	2129
310	958	2124
311	961	2119
312	963	2114
313	965	2108
314	968	2106
315	971	2103
316	979	2110
317	981	2104
318	984	2102
319	987	2097
320	989	2092
321	992	2088
322	993	2083
323	996	2079
324	1000	2077
325	1002	2072
326	1005	2068
327	1007	2063
328	1009	2057
329	1012	2055
330	1015	2052
331	1018	2049
332	1021	2045
333	1023	2040
334	1025	2036
335	1029	2034
336	1031	2029
337	1034	2025
338	1036	2020
339	1038	2015
340	1041	2013
341	1044	2009
342	1046	2004
343	1049	2000
344	1051	1995
345	1053	1990
346	1056	1988
347	1060	1986
348	1062	1981
349	1064	1977
350	1066	1972
351	1070	1970
352	1073	1967
353	1075	1962
354	1077	1958
355	1080	1953
356	1082	1949
357	1086	1948
358	1088	1944
359	1091	1939
360	1093	1934
361	1095	1929
362	1097	1925
363	1101	1924
364	1103	1920
365	1106	1916
366	1108	1911
367	1110	1907
368	1114	1906
369	1117	1902
370	1119	1898
371	1122	1894
372	1124	1889
373	1127	1886
374	1130	1884
375	1132	1879
376	1134	1875
377	1137	1871
378	1138	1866
379	1142	1864
380	1145	1860
381	1147	1856
382	1150	1852
383	1152	1848
384	1154	1843
385	1158	1842
386	1160	1838
387	1162	1833
388	1164	1829
389	1166	1825
390	1169	1822
391	1173	1819
392	1175	1815
393	1177	1811
394	1179	1807
395	1181	1802
396	1184	1799
397	1187	1796
398	1190	1792
399	1192	1788
400	1194	1784
401	1196	1779
402	1200	1778
403	1203	1774
404	1205	1770
405	1207	1767
406	1209	1762
407	1211	1758
408	1215	1756
409	1217	1752
410	1220	1748
411	1222	1744
412	1224	1740
413	1226	1736
414	1230	1733
415	1232	1729
416	1234	1725
417	1236	1721
418	1238	1717
419	1240	1713
420	1244	1712
421	1247	1708
422	1250	1705
423	1252	1701
424	1254	1696
425	1258	1695
426	1260	1691
427	1263	1688
428	1265	1684
429	1267	1680
430	1269	1676
431	1272	1673
432	1275	1670
433	1277	1666
434	1280	1662
435	1282	1658
436	1284	1654
437	1288	1652
438	1292	1651
439	1295	1648
440	1297	1644
441	1300	1642
442	1303	1639
443	1305	1635
444	1308	1632
445	1310	1628
446	1312	1624
447	1316	1622
448	1318	1618
449	1321	1614
450	1323	1611
451	1325	1606
452	1327	1603
453	1331	1601
454	1334	1597
455	1336	1593
456	1338	1590
457	1340	1585
458	1343	1583
459	1346	1580
460	1348	1577
461	1351	1573
462	1353	1569
463	1355	1565
464	1358	1563
465	1361	1560
466	1363	1556
467	1366	1553
468	1368	1549
469	1370	1545
470	1375	1544
471	1378	1541
472	1380	1538
473	1383	1534
474	1385	1531
475	1389	1529
476	1391	1525
477	1393	1521
478	1395	1518
479	1397	1514
480	1400	1510
481	1403	1508
482	1406	1505
483	1408	1502
484	1411	1498
485	1413	1494
486	1416	1492
487	1419	1489
488	1421	1485
489	1425	1483
490	1427	1479
491	1431	1477
492	1433	1474
493	1437	1471
494	1439	1468
495	1441	1464
496	1443	1460
497	1447	1459
498	1449	1455
499	1451	1451
500	1454	1448
501	1456	1444
502	1459	1441
503	1462	1438
504	1464	1435
505	1467	1432
506	1469	1428
507	1471	1424
508	1475	1423
509	1477	1419
510	1479	1416
511	1482	1412
512	1484	1409
513	1486	1405
514	1491	1404
515	1494	1401
516	1496	1397
517	1497	1393
518	1499	1390
519	1504	1388
520	1506	1384
521	1508	1381
522	1511	1378
523	1513	1374
524	1515	1371
525	1519	1369
526	1521	1365
527	1523	1362
528	1525	1358
529	1527	1354
530	1531	1352
531	1534	1349
532	1537	1346
533	1539	1343
534	1541	1339
535	1543	1336
536	1547	1334
537	1549	1330
538	1551	1326
539	1553	1323
540	1555	1320
541	1558	1317
542	1562	1314
543	1564	1311
544	1566	1307
545	1568	1304
546	1570	1300
547	1573	1297
548	1577	1295
549	1579	1292
550	1582	1289
551	1584	1285
552	1586	1282
553	1589	1279
554	1592	1276
555	1594	1273
556	1597	1270
557	1599	1266
558	1601	1263
559	1605	1261
560	1608	1258
561	1611	1255
562	1613	1252
563	1616	1249
564	1619	1247
565	1622	1243
566	1624	1240
567	1626	1237
568	1629	1233
569	1633	1232
570	1635	1228
571	1638	1225
572	1640	1222
573	1642	1219
574	1646	1216
575	1648	1213
576	1650	1210
577	1653	1207
578	1655	1203
579	1658	1200
580	1661	1198
581	1663	1194
582	1666	1191
583	1667	1188
584	1669	1184
585	1673	1182
586	1676	1179
587	1678	1175
588	1680	1172
589	1682	1169
590	1684	1165
591	1688	1163
592	1690	1160
593	1693	1157
594	1695	1154
595	1697	1150
596	1699	1147
597	1703	1145
598	1705	1141
599	1708	1138
600	1710	1135
601	1712	1131
602	1716	1130
603	1719	1127
604	1721	1124
605	1724	1121
606	1726	1117
607	1728	1114
608	1731	1111
609	1734	1108
610	1736	1105
611	1738	1102
612	1740	1098
613	1742	1095
614	1747	1093
615	1749	1090
616	1751	1087
617	1753	1084
618	1755	1080
619	1760	1078
620	1763	1076
621	1766	1073
622	1769	1070
623	1771	1067
624	1775	1065
625	1777	1062
626	1792	1066
627	1794	1063
628	1797	1059
629	1798	1056
630	1801	1053
631	1805	1051
632	1808	1048
633	1810	1045
634	1812	1041
635	1814	1038
636	1817	1035
637	1820	1032
638	1822	1029
639	1824	1026
640	1827	1023
641	1829	1020
642	1832	1017
643	1835	1014
644	1837	1011
645	1840	1008
646	1842	1005
647	1844	1001
648	1847	999
649	1850	996
650	1852	993
651	1855	990
652	1857	986
653	1859	983
654	1863	981
655	1865	978
656	1867	975
657	1870	972
658	1872	968
659	1874	965
660	1878	963
661	1880	960
662	1882	957
663	1885	953
664	1886	950
665	1890	948
666	1893	945
667	1896	942
668	1898	939
669	1900	936
670	1903	933
671	1907	930
672	1909	927
673	1912	924
674	1914	921
675	1916	918
676	1919	915
677	1922	912
678	1924	909
679	1927	906
680	1929	903
681	1931	900
682	1934	898
683	1938	895
684	1940	892
685	1943	889
686	1944	886
687	1949	883
688	1952	881
689	1954	878
690	1956	874
691	1958	871
692	1960	868
693	1964	866
694	1966	863
695	1968	859
696	1971	857
697	1973	853
698	1975	850
699	1980	848
700	1983	846
701	1985	843
702	1987	839
703	1991	837
704	1995	835
705	1997	831
706	2000	828
707	2001	825
708	2005	823
709	2007	820
710	2010	817
711	2012	814
712	2014	810
713	2016	807
714	2019	805
715	2022	802
716	2024	799
717	2027	796
718	2029	793
719	2033	790
720	2036	788
721	2038	784
722	2040	781
723	2042	778
724	2044	775
725	2048	773
726	2051	770
727	2053	767
728	2055	764
729	2058	761
730	2060	758
731	2064	755
732	2066	752
733	2068	749
734	2071	746
735	2073	743
736	2076	740
737	2079	738
738	2081	734
739	2083	732
740	2085	729
741	2087	725
742	2091	723
743	2094	720
744	2096	717
745	2098	714
746	2100	711
747	2102	708
748	2106	705
749	2108	702
750	2110	699
751	2112	696
752	2114	693
753	2117	690
754	2120	688
755	2123	685
756	2125	682
757	2127	679
758	2129	676
759	2132	673
760	2136	670
761	2138	667
762	2140	664
763	2142	661
764	2144	658
765	2148	656
766	2151	653
767	2153	650
768	2155	647
769	2157	644
770	2159	641
771	2164	639
772	2166	636
773	2168	633
774	2170	630
775	2172	627
776	2175	624
777	2178	621
778	2181	618
779	2183	615
780	2185	612
781	2187	609
782	2191	607
783	2193	604
784	2196	601
785	2198	598
786	2200	595
787	2202	592
788	2206	590
789	2219	590
790	2223	587
791	2225	584
792	2228	581
793	2230	578
794	2232	575
795	2235	572
796	2238	570
797	2240	567
798	2246	565
799	2248	562
800	2252	559
801	2255	556
802	2257	553
803	2259	550
804	2261	547
805	2265	545
806	2268	542
807	2270	539
808	2272	536
809	2275	533
810	2277	530
811	2280	528
812	2283	525
813	2285	522
814	2287	519
815	2290	516
816	2294	513
817	2297	511
818	2299	508
819	2301	505
820	2303	502
821	2305	499
822	2309	496
823	2312	493
824	2315	491
825	2317	488
826	2320	485
827	2323	482
828	2325	479
829	2328	476
830	2330	474
831	2332	471
832	2336	468
833	2339	465
834	2341	462
835	2344	459
836	2346	456
837	2348	453
838	2352	451
839	2354	448
840	2357	445
841	2359	442
842	2361	439
843	2363	436
844	2367	434
845	2369	431
846	2372	428
847	2374	425
848	2376	422
849	2380	420
850	2383	417
851	2385	414
852	2387	411
853	2389	408
854	2391	405
855	2394	402
856	2398	400
857	2400	397
858	2403	394
859	2405	391
860	2407	388
861	2411	386
862	2413	383
863	2415	380
864	2417	377
865	2419	374
866	2422	371
867	2425	368
868	2428	366
869	2430	363
870	2432	360
871	2434	357
872	2438	354
873	2440	351
874	2443	349
875	2445	346
876	2448	343
877	2450	340
878	2453	337
879	2455	334
880	2458	332
881	2460	329
882	2462	326
883	2466	323
884	2469	320
885	2471	317
886	2473	315
887	2475	312
888	2477	309
889	2481	306
890	2484	303
891	2486	301
892	2489	298
893	2491	295
894	2494	292
895	2498	289
896	2500	287
897	2502	284
898	2504	281
899	2506	278
900	2510	275
901	2513	273
902	2515	270
903	2518	267
904	2520	264
905	2522	261
906	2526	259
907	2528	256
908	2530	253
909	2533	250
910	2535	247
911	2537	244
912	2541	242
913	2543	239
914	2545	236
915	2548	233
916	2549	230
917	2553	228
918	2556	225
919	2558	222
920	2561	219
921	2563	216
922	2565	213
923	2568	211
924	2575	208
925	2577	205
926	2579	203
927	2582	200
928	2585	197
929	2587	194
930	2590	191
931	2592	189
932	2594	186
933	2598	183
934	2600	180
935	2602	177
936	2605	175
937	2607	172
938	2609	169
939	2614	166
940	2616	164
941	2618	161
942	2621	158
943	2622	155
944	2625	152
945	2629	150
946	2631	147
947	2633	144
948	2635	141
949	2637	138
950	2641	136
951	2644	133
952	2646	130
953	2648	127
954	2650	124
955	2652	122
956	2656	119
957	2659	116
958	2661	113
959	2663	110
960	2665	108
961	2667	105
962	2672	102
963	2675	99
964	2677	97
965	2679	94
966	2683	91
967	2686	88
968	2688	86
969	2691	83
970	2693	80
971	2695	77
972	2698	74
973	2701	72
974	2703	69
975	2706	66
976	2708	63
977	2710	60
978	2714	58
979	2716	55
980	2718	52
981	2721	49
982	2723	47
983	2726	44
984	2729	41
985	2731	38
986	2733	36
987	2736	33
988	2737	30
989	2741	27
990	2744	24
991	2746	22
992	2749	19
993	2751	16
994	2753	13
995	2756	11
996	2759	8
997	2761	5
998	2764	2
999	2766	0
